"term","x__rank","x__score","x__week"
"Morgan Wallen","2","13","2024-07-07"
"Maxine Waters","4","8","2024-07-07"
"Lakers summer league","6","100","2024-07-07"
"Divorce in the Black","7","10","2024-07-07"
"Mercury vs Fever","7","14","2024-07-07"
"Free Slurpee Day","8","100","2024-07-07"
"Paul Skenes","9","72","2024-07-07"
"Descendants: The Rise of Red","10","31","2024-07-07"
"ESPYS 2024","10","100","2024-07-07"
"CPI","11","32","2024-07-07"
"Stop and Shop closing stores","11","100","2024-07-07"
"NBA Summer League","12","76","2024-07-07"
"Monte Kiffin","12","100","2024-07-07"
"Whit Merrifield","13","5","2024-07-07"
"Vice President Trump","13","100","2024-07-07"
"Yankees vs Orioles","14","","2024-07-07" 
"Lupus","14","57","2024-07-07"
"Descendants","15","43","2024-07-07"
"Sausage Party: Foodtopia","15","100","2024-07-07"
"Patrick Mahomes","16","3","2024-07-07"
"Jurgen Klopp","16","65","2024-07-07"
"Sean Burroughs","17","10","2024-07-07"
"Prince Harry","17","12","2024-07-07"
"Davante Adams","18","16","2024-07-07"
"AT&T data breach","18","100","2024-07-07"
"Jamal Adams","19","","2024-07-07"
"Biden press conference","21","100","2024-07-07"
"Costco stock","22","14","2024-07-07"
"Eminem","22","34","2024-07-07"
"Harrison Butker","24","12","2024-07-07"
"Kawhi Leonard","24","36","2024-07-07"
"Steve Gleason","25","100","2024-07-07"
"Benji Gregory","25","100","2024-07-07"
"Copa America","1","80","2024-07-14"
"Trump","1","100","2024-07-14"
"J.D. Vance","1","100","2024-07-14"
"Richard Simmons","2","100","2024-07-14"
"Kai Trump","2","100","2024-07-14"
"Jacoby Jones","2","100","2024-07-14"
"CNN","3","64","2024-07-14"
"Usha Vance","3","100","2024-07-14"
"Republican National Convention","3","100","2024-07-14"
"Spain vs England","4","100","2024-07-14"
"Emmy Nominations 2024","4","100","2024-07-14"
"Carlos Alcaraz","4","100","2024-07-14"
"News today","5","57","2024-07-14"
"The Open","5","72","2024-07-14"
"Canada vs Uruguay","5","100","2024-07-14"
"Tornado Warning Chicago","6","","2024-07-14"
"Adam Schiff","6","19","2024-07-14"
"Full moon","6","53","2024-07-14"
"Chicago Sky","6","65","2024-07-14"
"Barron Trump","6","80","2024-07-14"
"Colombia","6","100","2024-07-14"
"Matt Gaetz","7","10","2024-07-14"
"Breaking News","7","38","2024-07-14"
"Teoscar Hernandez","7","40","2024-07-14"
"Jasmine Paolini","7","42","2024-07-14"
"Chicago","7","56","2024-07-14"
"Kid Rock","7","65","2024-07-14"
"Kimberly Cheatle","7","100","2024-07-14"
"Nashville, Il dam","8","","2024-07-14"
"Kate Middleton","8","7","2024-07-14"
"MLS","8","48","2024-07-14"
"CBS News","8","89","2024-07-14"
"First Baptist Dallas","8","100","2024-07-14"
"Big Brother","9","40","2024-07-14"
"Soccer","9","41","2024-07-14"
"Bird flu outbreak Colorado","9","100","2024-07-14"
"Robert F. Kennedy Jr","10","","2024-07-14"
"Vivek Ramaswamy","10","18","2024-07-14"
"Lady in the Lake","10","91","2024-07-14"
"Morning Joe","10","100","2024-07-14"
"Dr. Ruth death","11","","2024-07-14"
"Jordan Addison","11","24","2024-07-14"
"Harry Connick Jr","11","28","2024-07-14"
"Jersey","11","52","2024-07-14"
"Tim Scott","11","55","2024-07-14"
"Ben Sasse","12","18","2024-07-14"
"The Open leaderboard","12","41","2024-07-14"
"Sue Mi Terry South Korea","12","100","2024-07-14"
"College Football 25 release date","12","100","2024-07-14"
"Jfk","12","100","2024-07-14"
"Ingrid Andress","12","100","2024-07-14"
"Kids' Choice Awards 2024","13","","2024-07-14"
"Shannen Doherty Holly Marie Combs","13","","2024-07-14"
"Russell Westbrook","13","20","2024-07-14"
"Tel Aviv","13","26","2024-07-14"
"Amazon Prime Day","13","55","2024-07-14"
"The Boys Season 4 Episode 8","13","100","2024-07-14"
"DEI","13","100","2024-07-14"
"Jason Aldean","14","4","2024-07-14"
"Associated Press","14","15","2024-07-14"
"AOC","14","16","2024-07-14"
"Skip Bayless","14","21","2024-07-14"
"Wiz","14","31","2024-07-14"
"Jack Black","14","100","2024-07-14"
"Nikki Haley","15","25","2024-07-14"
"National Hot Dog Day","15","34","2024-07-14"
"Travis Bazzana","15","82","2024-07-14"
"NCAA Football 25","15","100","2024-07-14"
"Rory McIlroy","16","22","2024-07-14"
"New York post","16","65","2024-07-14"
"Alec Bohm","16","69","2024-07-14"
"BlackRock","16","100","2024-07-14"
"Best Prime Day Deals 2024","16","100","2024-07-14"
"Odell Beckham Jr","17","3","2024-07-14"
"Derecho","17","14","2024-07-14"
"Terrell Davis United Airlines","17","16","2024-07-14"
"50 Cent","17","27","2024-07-14"
"RNC Convention 2024","17","100","2024-07-14"
"Ambani wedding","17","100","2024-07-14"
"Bernie Sanders","18","2","2024-07-14"
"Tucker Carlson","18","7","2024-07-14"
"Jay Slater Tenerife missing","18","12","2024-07-14"
"Leny Yoro","18","17","2024-07-14"
"All-Star Game 2024","18","21","2024-07-14"
"UFC","18","100","2024-07-14"
"ROME, N.Y tornado","19","","2024-07-14"
"Alec Baldwin","19","8","2024-07-14"
"NCAA","19","14","2024-07-14"
"Obama","19","38","2024-07-14"
"Usa basketball","19","72","2024-07-14"
"Who died at the Trump rally","19","100","2024-07-14"
"Donald Glover","20","44","2024-07-14"
"Glenn Youngkin","20","48","2024-07-14"
"Gunnar Henderson","20","100","2024-07-14"
"Biden News","20","100","2024-07-14"
"Captain America: Brave New World","21","","2024-07-14"
"Mike Pence","21","12","2024-07-14"
"Mlb All-Star game 2024","21","15","2024-07-14"
"Fandango","21","41","2024-07-14"
"My Spy: The Eternal City","22","","2024-07-14"
"Joe Bryant","22","26","2024-07-14"
"DJT stock","22","40","2024-07-14"
"Teamsters","22","100","2024-07-14"
"Sean O'Brien","23","47","2024-07-14"
"President Biden","23","83","2024-07-14"
"Aileen Cannon","23","100","2024-07-14"
"Kansas City Chiefs","24","","2024-07-14"
"Elon Musk","24","17","2024-07-14"
"Caitlin Clark","24","24","2024-07-14"
"Franklin Graham","24","26","2024-07-14"
"Natalie Portman","24","31","2024-07-14"
"Terrell Davis","24","95","2024-07-14"
"Dr. Ruth","24","100","2024-07-14"
"Daisy Edgar-Jones","25","","2024-07-14"
"ASSOCIATED PRESS","25","7","2024-07-14"
"Marco Rubio","25","63","2024-07-14"
"The Shining","25","63","2024-07-14"
"Oura Ring","25","81","2024-07-14"
"The Open 2024","25","100","2024-07-14"
"Delta airlines Palestinian flag","25","100","2024-07-14"
"Yellowstone","1","22","2024-07-21"
"Skateboarding Olympics","1","100","2024-07-21"
"Deadpool and Wolverine","1","100","2024-07-21"
"Biden","1","100","2024-07-21"
"Cheatle","1","100","2024-07-21"
"USA Basketball","2","69","2024-07-21"
"Gavin Newsom","2","77","2024-07-21"
"Mayo Zambada","2","100","2024-07-21"
"Sonya Massey","2","100","2024-07-21"
"Xander Schauffele","3","59","2024-07-21"
"Ava Kris Tyson","3","100","2024-07-21"
"Charli XCX","3","100","2024-07-21"
"Jasper National Park","4","32","2024-07-21"
"Tesla stock","4","33","2024-07-21"
"F1","4","61","2024-07-21"
"Mark Kelly","4","100","2024-07-21"
"CrowdStrike stock","4","100","2024-07-21"
"Olympic schedule 2024","4","100","2024-07-21"
"Park Fire","5","2","2024-07-21"
"USA vs Germany basketball","5","52","2024-07-21"
"Peacock","5","65","2024-07-21"
"Olympic schedule","5","86","2024-07-21"
"Charlotte Dujardin","5","100","2024-07-21"
"Joe Manchin","5","100","2024-07-21"
"WNBA All-Star Game 2024","6","7","2024-07-21"
"Snoop Dogg","6","26","2024-07-21"
"Bob Newhart","6","28","2024-07-21"
"Breaking news","6","38","2024-07-21"
"Andy Beshear","6","100","2024-07-21"
"Ryan Reynolds","7","71","2024-07-21"
"Childless cat lady","7","100","2024-07-21"
"Gojira","7","100","2024-07-21"
"John Mayall","7","100","2024-07-21"
"Billy Horschel","8","39","2024-07-21"
"What is a DEI hire","8","57","2024-07-21"
"Michelle Obama","8","59","2024-07-21"
"Netanyahu","8","70","2024-07-21"
"Vivian Jenna Wilson","8","100","2024-07-21"
"Yemen","9","13","2024-07-21"
"Roy Cooper","9","53","2024-07-21"
"Randy Arozarena","9","100","2024-07-21"
"Inter Miami","10","7","2024-07-21"
"Joe Burrow","10","8","2024-07-21"
"Bob Menendez","10","30","2024-07-21"
"Fallout: London","10","80","2024-07-21"
"Gretchen Whitmer","10","100","2024-07-21"
"Southwest assigned seats","11","23","2024-07-21"
"CrowdStrike","11","33","2024-07-21"
"Jordan Love contract","11","100","2024-07-21"
"Deep ocean dark oxygen","11","100","2024-07-21"
"Sheila Jackson","11","100","2024-07-21"
"DNC convention 2024","11","100","2024-07-21"
"25th Amendment","12","9","2024-07-21"
"Jordan Love","12","12","2024-07-21"
"Biden news","12","100","2024-07-21"
"Corvette ZR1","13","48","2024-07-21"
"Michael Gallup","13","92","2024-07-21"
"Esta TerBlanche","13","100","2024-07-21"
"Harris vs Trump","13","100","2024-07-21"
"Aya Nakamura","13","100","2024-07-21"
"Nancy Pelosi","14","12","2024-07-21"
"SearchGPT","14","41","2024-07-21"
"Is Russia in the Olympics 2024","14","100","2024-07-21"
"Red Lobster new owner","14","100","2024-07-21"
"Green Bay Packers","15","","2024-07-21"
"Billy Joel","15","13","2024-07-21"
"Google Stock","15","43","2024-07-21"
"Rachel Minaya","15","100","2024-07-21"
"Biden news Today","15","100","2024-07-21"
"AMBER Alert","16","","2024-07-21"
"COVID-19","16","1","2024-07-21"
"Hunter Biden","16","6","2024-07-21"
"Jill Biden","16","22","2024-07-21"
"WNBA All-Star Game","16","36","2024-07-21"
"Austin Hays","16","100","2024-07-21"
"Evan Gershkovich","17","11","2024-07-21"
"Karen Read","17","18","2024-07-21"
"The Decameron","17","21","2024-07-21"
"Mitt Romney","17","21","2024-07-21"
"Kelly Clarkson","17","33","2024-07-21"
"Gigi Hadid","17","43","2024-07-21"
"Presidential Election 2024","18","100","2024-07-21"
"Russian fighter jets","18","100","2024-07-21"
"Tahiti","18","100","2024-07-21"
"Brat summer","18","100","2024-07-21"
"Lou Dobbs","19","9","2024-07-21"
"Bryson DeChambeau","19","13","2024-07-21"
"Beyonce","19","35","2024-07-21"
"Biden speech","19","55","2024-07-21"
"Kennedy","19","83","2024-07-21"
"Brickyard 400","19","100","2024-07-21"
"Taylor Swift-Travis Kelce","20","","2024-07-21"
"Azerbaijan","20","14","2024-07-21"
"Hulk Hogan","20","25","2024-07-21"
"Man City","20","53","2024-07-21"
"Where is Melania Trump","21","","2024-07-21"
"Register to vote","21","7","2024-07-21"
"Mets vs Yankees","21","24","2024-07-21"
"Kamala Harris","21","100","2024-07-21"
"What is DEI","22","","2024-07-21"
"Trump debate","22","17","2024-07-21"
"Chelsea vs Wrexham","22","30","2024-07-21"
"Full moon July 2024","22","81","2024-07-21"
"Jake SULLIVAN","22","100","2024-07-21"
"Bruce Springsteen","23","18","2024-07-21"
"Delta airlines flights cancelled","23","22","2024-07-21"
"Cobra Kai","23","45","2024-07-21"
"Barge","23","52","2024-07-21"
"Joker","24","6","2024-07-21"
"Trump speech","24","13","2024-07-21"
"Whale capsizes boat","24","32","2024-07-21"
"Max Verstappen","24","66","2024-07-21"
"Zach Eflin","24","95","2024-07-21"
"Sports goods","25","","2024-07-21"
"Tiger Woods","25","1","2024-07-21"
"Jake Paul vs Mike Perry","25","100","2024-07-21"
"Summer Olympic Games","25","100","2024-07-21"
"Donald Trump","1","43","2024-07-28"
"Sha'Carri Richardson","1","44","2024-07-28"
"Olympic medal count","1","89","2024-07-28"
"Algeria","1","100","2024-07-28"
"Erica Ash death","2","","2024-07-28"
"MyKayla Skinner comment","2","55","2024-07-28"
"Katie Ledecky","2","100","2024-07-28"
"Last Supper Olympics","2","100","2024-07-28"
"Sailing olympics","2","100","2024-07-28"
"Stock Market Today","3","14","2024-07-28"
"UFC 304","3","100","2024-07-28"
"Simone Biles","3","100","2024-07-28"
"Ismail Haniyeh","3","100","2024-07-28"
"Trump rally","4","17","2024-07-28"
"Caeleb Dressel","4","38","2024-07-28"
"Elecciones Venezuela 2024","4","45","2024-07-28"
"Nelons plane crash","4","100","2024-07-28"
"Southport","4","100","2024-07-28"
"Aerosmith","5","21","2024-07-28"
"Paul Whelan","5","24","2024-07-28"
"Jonathan Owens","5","100","2024-07-28"
"Assassination attempt on Trump","5","100","2024-07-28"
"United States 2024 Olympics","5","100","2024-07-28"
"Vybz Kartel","5","100","2024-07-28"
"NFL","6","6","2024-07-28"
"Coco Gauff","6","35","2024-07-28"
"SummerSlam 2024","6","46","2024-07-28"
"Assassination attempt on Donald Trump","6","51","2024-07-28"
"Jazz Chisholm Jr","6","100","2024-07-28"
"Venezuela elections 2024","6","100","2024-07-28"
"Leon Marchand","6","100","2024-07-28"
"Colorado fires","7","14","2024-07-28"
"Bank","7","57","2024-07-28"
"Rafael Nadal","7","75","2024-07-28"
"Nyjah Huston","7","93","2024-07-28"
"Suni Lee","7","100","2024-07-28"
"Tropical Storm Florida","7","100","2024-07-28"
"Michael Phelps","7","100","2024-07-28"
"Michael Kopech","8","","2024-07-28"
"Simone Biles' husband","8","14","2024-07-28"
"Meta stock","8","56","2024-07-28"
"Intel stock","8","80","2024-07-28"
"Hezly Rivera","8","100","2024-07-28"
"Olympic soccer","8","100","2024-07-28"
"Cardi B","9","11","2024-07-28"
"Blake Snell","9","31","2024-07-28"
"Ilona Maher","9","90","2024-07-28"
"AMD stock","9","100","2024-07-28"
"August 1st","9","100","2024-07-28"
"Olympics basketball","9","100","2024-07-28"
"Olympic medal count 2024","10","34","2024-07-28"
"Olympic golf","10","69","2024-07-28"
"Listeria","10","100","2024-07-28"
"Gymnastics Olympics 2024 schedule","10","100","2024-07-28"
"Christopher Morel","10","100","2024-07-28"
"MLB trade deadline","10","100","2024-07-28"
"Women's gymnastics all-around","11","","2024-07-28"
"Kobe Bryant","11","","2024-07-28"
"Turkish Olympic shooter","11","47","2024-07-28"
"Women's rugby Olympics","11","100","2024-07-28"
"Michael Polansky","11","100","2024-07-28"
"Fiji","11","100","2024-07-28"
"White Dudes for Harris","11","100","2024-07-28"
"Argentina vs France Olympics","12","","2024-07-28"
"Chloe Dygert","12","","2024-07-28"
"Men's all-around final","12","","2024-07-28"
"Beirut","12","3","2024-07-28"
"Alexander Mountain Fire","12","28","2024-07-28"
"Trap movie","12","100","2024-07-28"
"Park Fire map","13","","2024-07-28"
"Teddy Riner","13","4","2024-07-28"
"Giorgia Villa","13","13","2024-07-28"
"Boar's Head recall","13","99","2024-07-28"
"Kate Douglass","13","100","2024-07-28"
"Medal count 2024","13","100","2024-07-28"
"Lollapalooza","14","28","2024-07-28"
"Novak Djokovic","14","30","2024-07-28"
"Barcelona","14","54","2024-07-28"
"USWNT","14","59","2024-07-28"
"Olympic triathlon","14","82","2024-07-28"
"George Russell","15","","2024-07-28"
"Gordon Hayward","15","10","2024-07-28"
"Chuck Schumer","15","10","2024-07-28"
"Padres","15","18","2024-07-28"
"Brody Malone","15","100","2024-07-28"
"Pan Zhanle","15","100","2024-07-28"
"Ryan Murphy swimmer","15","100","2024-07-28"
"Gretchen Walsh","16","","2024-07-28"
"James Baldwin","16","1","2024-07-28"
"Megan Thee Stallion","16","22","2024-07-28"
"Amazon stock","16","33","2024-07-28"
"North Korea","16","34","2024-07-28"
"Nic Fink","16","100","2024-07-28"
"Justin Turner","17","","2024-07-28"
"Veronica Fraley","17","16","2024-07-28"
"Lee Kiefer","17","71","2024-07-28"
"Trump NABJ","17","95","2024-07-28"
"Batman: Caped Crusader","17","100","2024-07-28"
"Olympic tennis","17","100","2024-07-28"
"Giannis Antetokounmpo","18","","2024-07-28"
"Manchester United","18","38","2024-07-28"
"Dollywood flooding","18","62","2024-07-28"
"Carson Foster","18","100","2024-07-28"
"Guillain-Barré syndrome","19","13","2024-07-28"
"Mark Leiter Jr","19","19","2024-07-28"
"Lane Thomas","19","100","2024-07-28"
"DJ Moore","20","16","2024-07-28"
"Mike Trout","20","29","2024-07-28"
"Chelsea","20","56","2024-07-28"
"Jorge Soler","20","57","2024-07-28"
"Gabriel Medina","20","87","2024-07-28"
"USA women's basketball","20","100","2024-07-28"
"Kodai Senga","21","","2024-07-28"
"Sheila Jackson Lee","21","42","2024-07-28"
"Kelly Ortberg","21","100","2024-07-28"
"Steven van de Velde","21","100","2024-07-28"
"James McCann","21","100","2024-07-28"
"Norah O'Donnell","21","100","2024-07-28"
"Nikki Glaser","22","6","2024-07-28"
"Bam Adebayo","22","20","2024-07-28"
"Surfing olympics 2024","22","94","2024-07-28"
"Imane Khelif","22","100","2024-07-28"
"Laurie Hernandez","22","100","2024-07-28"
"Team USA","22","100","2024-07-28"
"Bears","23","34","2024-07-28"
"AMD","23","83","2024-07-28"
"Jesse Winker","23","100","2024-07-28"
"Summer McIntosh","23","100","2024-07-28"
"United Airlines flight diverted","23","100","2024-07-28"
"Celine Dion","23","100","2024-07-28"
"Fred Trump","23","100","2024-07-28"
"Sinead O'Connor","24","3","2024-07-28"
"Rob Lowe","24","29","2024-07-28"
"Andy Murray","24","30","2024-07-28"
"Feral","24","50","2024-07-28"
"Stephen Nedoroscik pommel horse","24","87","2024-07-28"
"Olympics schedule","24","100","2024-07-28"
"Eswatini","25","","2024-07-28"
"Blue Jays vs Orioles","25","","2024-07-28"
"South Sudan basketball","25","37","2024-07-28"
"August","25","60","2024-07-28"
"Regan Smith","25","100","2024-07-28"
"Taylor Swift","1","21","2024-08-04"
"Artistic swimming Olympics","1","100","2024-08-04"
"Walz","1","100","2024-08-04"
"Crawford vs Madrimov","1","100","2024-08-04"
"Tim Walz","1","100","2024-08-04"
"Breaking Olympics 2024","1","100","2024-08-04"
"Brazil plane crash","1","100","2024-08-04"
"Earthquake","2","1","2024-08-04"
"Angelman syndrome","2","100","2024-08-04"
"USA vs Serbia basketball","2","100","2024-08-04"
"Stock Market","2","100","2024-08-04"
"Susan Wojcicki","2","100","2024-08-04"
"Armand Duplantis","2","100","2024-08-04"
"Real Madrid  Barcelona","2","100","2024-08-04"
"Eagles","3","15","2024-08-04"
"Nelly","3","56","2024-08-04"
"Nvidia stock","3","79","2024-08-04"
"Tropical Storm Debby","3","100","2024-08-04"
"Women's 200m final","3","100","2024-08-04"
"U.S. women's soccer","4","30","2024-08-04"
"Bitcoin price","4","58","2024-08-04"
"Tim Walz military service","4","100","2024-08-04"
"Lazar Dukic","4","100","2024-08-04"
"Luana Alonso","4","100","2024-08-04"
"Cori Bush primary","4","100","2024-08-04"
"U.S. women's soccer Olympics","5","","2024-08-04"
"Pittsburgh Steelers","5","23","2024-08-04"
"Scottie Scheffler","5","34","2024-08-04"
"US women's soccer Olympics","5","56","2024-08-04"
"Men's 400m final","5","61","2024-08-04"
"Cole Hocker","5","100","2024-08-04"
"Sydney McLaughlin-Levrone","5","100","2024-08-04"
"Shelly-Ann Fraser","6","","2024-08-04"
"Charles Schwab","6","82","2024-08-04"
"Kursk","6","100","2024-08-04"
"Djokovic","6","100","2024-08-04"
"Spain vs France Olympics","6","100","2024-08-04"
"Borderlands movie","6","100","2024-08-04"
"Tara Davis-Woodhall husband","7","","2024-08-04"
"Kevin Sullivan","7","33","2024-08-04"
"Real Madrid","7","83","2024-08-04"
"Jade Carey","7","100","2024-08-04"
"Bobby Finke","7","100","2024-08-04"
"Detroit Lions","8","5","2024-08-04"
"Miami Dolphins","8","12","2024-08-04"
"Iran","8","12","2024-08-04"
"Kenneth Rooks","8","33","2024-08-04"
"Zac Efron","8","98","2024-08-04"
"Bangladesh","8","100","2024-08-04"
"Travis Scott","9","3","2024-08-04"
"Patriots","9","19","2024-08-04"
"Sport climbing Olympics","9","40","2024-08-04"
"Alex Walsh disqualified","9","100","2024-08-04"
"Brandon Aiyuk","9","100","2024-08-04"
"Usain Bolt","9","100","2024-08-04"
"Kristen Faulkner","10","","2024-08-04"
"Vinesh Phogat","10","8","2024-08-04"
"Umbrella Academy","10","18","2024-08-04"
"D23","10","70","2024-08-04"
"Tampon Tim","10","80","2024-08-04"
"Women's vault final","10","100","2024-08-04"
"Adin Ross","10","100","2024-08-04"
"Graves' disease","11","","2024-08-04"
"Noah Lyles' girlfriend","11","","2024-08-04"
"Javelin throw Olympics","11","12","2024-08-04"
"Jimmy Carter","11","12","2024-08-04"
"Joe Rogan","11","27","2024-08-04"
"Apple stock","11","36","2024-08-04"
"Lamecha Girma","11","100","2024-08-04"
"Trump press conference today","12","15","2024-08-04"
"Rai Benjamin","12","37","2024-08-04"
"Nassau County ban masks","12","62","2024-08-04"
"Rfk Jr","12","64","2024-08-04"
"House of the Dragon Season 2","12","100","2024-08-04"
"McDonald's Collector's Meal cups","12","100","2024-08-04"
"French pole vaulter","12","100","2024-08-04"
"Gabby Thomas boyfriend","13","19","2024-08-04"
"Mortgage rates","13","39","2024-08-04"
"Justin Baldoni","13","52","2024-08-04"
"Gabby Thomas","13","83","2024-08-04"
"Alysha Newman","13","84","2024-08-04"
"Carlos Yulo","13","100","2024-08-04"
"Raygun Australia","13","100","2024-08-04"
"Inter Miami  Toronto","14","12","2024-08-04"
"Devin Booker","14","23","2024-08-04"
"XRP","14","36","2024-08-04"
"Men's 4x100","14","72","2024-08-04"
"House of the Dragon Season 3","14","100","2024-08-04"
"Thea LaFond","14","100","2024-08-04"
"David Lynch","14","100","2024-08-04"
"JuJu Smith-Schuster","15","36","2024-08-04"
"International Cat Day","15","93","2024-08-04"
"Uneven bars 2024 Olympics","15","100","2024-08-04"
"Peggy Flanagan","15","100","2024-08-04"
"Missouri primary results","15","100","2024-08-04"
"Beam finals Olympics 2024","15","100","2024-08-04"
"Paralympics","16","4","2024-08-04"
"Anthony Edwards","16","19","2024-08-04"
"Carly Pearce","16","78","2024-08-04"
"Iran attack Israel Israeli","16","95","2024-08-04"
"Tornado","16","100","2024-08-04"
"Hard Knocks Bears","16","100","2024-08-04"
"Kevin Durant","17","13","2024-08-04"
"Kyle Dake","17","18","2024-08-04"
"Dow futures","17","28","2024-08-04"
"Kenny Bednarek","17","100","2024-08-04"
"Cash App settlement","17","100","2024-08-04"
"Lebanon","18","19","2024-08-04"
"Joel Embiid","18","20","2024-08-04"
"AIPAC","18","57","2024-08-04"
"Caroline Marks","18","100","2024-08-04"
"Brittany Brown","18","100","2024-08-04"
"Miss USA 2024","18","100","2024-08-04"
"Christian McCaffrey","19","9","2024-08-04"
"Boxing","19","100","2024-08-04"
"Uk riots","19","100","2024-08-04"
"Cuckoo","19","100","2024-08-04"
"Freddie Freeman son","19","100","2024-08-04"
"Shericka Jackson","20","","2024-08-04"
"Tim Kaine","20","","2024-08-04"
"Raven Saunders","20","67","2024-08-04"
"Doug Emhoff","20","83","2024-08-04"
"Josh Shapiro","20","100","2024-08-04"
"Amit Elor","20","100","2024-08-04"
"Olympic basketball","20","100","2024-08-04"
"Nick Foles","21","22","2024-08-04"
"Pitbull","21","27","2024-08-04"
"Sydney McLaughlin","21","41","2024-08-04"
"FC Barcelona","21","86","2024-08-04"
"Sam Kendricks","21","100","2024-08-04"
"Melissa Jefferson","22","","2024-08-04"
"Jenna Ellis","22","11","2024-08-04"
"Jon Rahm","22","18","2024-08-04"
"Joe Milton","22","27","2024-08-04"
"Nvidia stock price","23","66","2024-08-04"
"Elizabeth Taylor","23","71","2024-08-04"
"Noah Lyles","23","100","2024-08-04"
"CrossFit Games drowning","23","100","2024-08-04"
"Neeraj Chopra","23","100","2024-08-04"
"Erythritol blood clots","24","","2024-08-04"
"Microsoft stock","24","27","2024-08-04"
"S&P 500","24","94","2024-08-04"
"Terence Crawford","24","100","2024-08-04"
"Liverpool","24","100","2024-08-04"
"Japan earthquake","25","19","2024-08-04"
"4x100 relay Olympics","25","28","2024-08-04"
"Puerto Rico","25","47","2024-08-04"
"Stephen Nedoroscik","25","59","2024-08-04"
"Debby Storm Path","25","100","2024-08-04"
"Sarah Hildebrandt","25","100","2024-08-04"
"Dallas Cowboys","1","20","2024-08-11"
"Olympics","1","100","2024-08-11"
"LeBron James","2","43","2024-08-11"
"USA vs France basketball","2","100","2024-08-11"
"Jordan Chiles","3","100","2024-08-11"
"Diana Taurasi","3","100","2024-08-11"
"Juegos Olímpicos","4","100","2024-08-11"
"Gold medal count","4","100","2024-08-11"
"Chicago Bears","5","41","2024-08-11"
"Sifan Hassan","5","100","2024-08-11"
"Packers","6","17","2024-08-11"
"Cowboys","6","31","2024-08-11"
"Denver Broncos","7","34","2024-08-11"
"Wembanyama","7","53","2024-08-11"
"Chiefs","8","15","2024-08-11"
"Broncos","8","37","2024-08-11"
"Women's soccer Olympics","9","","2024-08-11"
"Brittney Griner","9","24","2024-08-11"
"Manchester City  Manchester United","10","","2024-08-11"
"2024 Summer Olympics","10","100","2024-08-11"
"Raiders","11","16","2024-08-11"
"Her","11","76","2024-08-11"
"Dr. Dre","12","","2024-08-11"
"Washington Commanders","12","20","2024-08-11"
"Meteor shower tonight","13","97","2024-08-11"
"Naval","13","99","2024-08-11"
"Jayson Tatum","14","76","2024-08-11"
"Wyndham Championship","14","100","2024-08-11"
"49ers","15","8","2024-08-11"
"2028 olympics","15","100","2024-08-11"
"Seahawks","16","19","2024-08-11"
"Matt Kuchar","16","89","2024-08-11"
"NASCAR","17","49","2024-08-11"
"Robin Williams","17","64","2024-08-11"
"Bengals","18","9","2024-08-11"
"Trey Lance","18","21","2024-08-11"
"Steve Kerr","19","47","2024-08-11"
"Phoenix","19","83","2024-08-11"
"Carol Burnett","20","10","2024-08-11"
"Vikings","20","22","2024-08-11"
"Women's 4x400","21","100","2024-08-11"
"Women's volleyball Olympics","21","100","2024-08-11"
"Winter Olympics","22","14","2024-08-11"
"Shelby McEwen","22","100","2024-08-11"
"Elle King","23","33","2024-08-11"
"USA basketball","24","48","2024-08-11"
"Sophia Smith","24","54","2024-08-11"
"Saints","25","18","2024-08-11"
